,차종,전장(mm),전폭(㎜),전고(㎜),축거(㎜)
13,기아 쎄라토::2.0 CVVT GOLD SPORTS,"4,340","1,735","1,470","2,610"
14,기아 쎄라토::1.5 CVVT GOLD PRM SPECIAL,"4,340","1,735","1,470","2,610"
15,기아 쎄라토::2.0 CVVT GOLD PRM SPECIAL,"4,340","1,735","1,470","2,610"
1,현대 뉴 베르나::1.3 GL STD,"4,260","1,680","1,395","2,440"
2,현대 뉴 베르나::1.5 GV STD,"4,260","1,680","1,395","2,440"
3,현대 뉴 베르나::1.5 GD STD,"4,260","1,680","1,395","2,440"
4,현대 뉴 베르나::1.5 GV DLX,"4,260","1,680","1,395","2,440"
5,현대 뉴 베르나::1.5 GD DLX,"4,260","1,680","1,395","2,440"
6,현대 뉴 베르나::1.5 GV SUP,"4,260","1,680","1,395","2,440"
7,현대 뉴 베르나::1.5 GD SUP,"4,260","1,680","1,395","2,440"
1,현대 뉴 베르나::1.3 L STD,"4,215","1,680","1,395","2,440"
2,현대 뉴 베르나::1.3 L DLX,"4,215","1,680","1,395","2,440"
3,현대 뉴 베르나::1.3 GL STD,"4,215","1,680","1,395","2,440"
4,현대 뉴 베르나::1.5 GV STD,"4,215","1,680","1,395","2,440"
5,현대 뉴 베르나::1.5 GD STD,"4,215","1,680","1,395","2,440"
6,현대 뉴 베르나::1.5 GV DLX,"4,215","1,680","1,395","2,440"
7,현대 뉴 베르나::1.5 GD DLX,"4,215","1,680","1,395","2,440"
8,현대 뉴 베르나::1.5 GV SUP,"4,215","1,680","1,395","2,440"
9,현대 뉴 베르나::1.5 GD SUP,"4,215","1,680","1,395","2,440"
1,기아 쎄라토::1.6 CVVT SLX DLX,"4,480","1,735","1,470","2,610"
2,기아 쎄라토::1.6 CVVT SLX WELL-BEING,"4,480","1,735","1,470","2,610"
3,기아 쎄라토::1.6 CVVT GOLD SUP,"4,480","1,735","1,470","2,610"
4,기아 쎄라토::1.6 CVVT SPORTS,"4,480","1,735","1,470","2,610"
5,기아 쎄라토::1.6 CVVT GOLD SAFETY,"4,480","1,735","1,470","2,610"
6,기아 쎄라토::1.6 CVVT GOLD PRM,"4,480","1,735","1,470","2,610"
1,기아 쎄라토::1.6 CVVT SLX DLX,"4,340","1,735","1,470","2,610"
2,기아 쎄라토::1.6 CVVT GOLD SPORTS,"4,340","1,735","1,470","2,610"
3,기아 쎄라토::1.6 CVVT GOLD SAFETY,"4,340","1,735","1,470","2,610"
4,기아 쎄라토::1.6 CVVT GOLD PRM,"4,340","1,735","1,470","2,610"
1,현대 라비타::1.6 LS STD,"4,025","1,740","1,635","2,600"
2,현대 라비타::1.6 LS DLX,"4,025","1,740","1,635","2,600"
3,현대 라비타::1.6 TR STD,"4,025","1,740","1,635","2,600"
4,현대 라비타::1.6 TR DLX,"4,025","1,740","1,635","2,600"
5,현대 라비타::1.6 CR STD,"4,025","1,740","1,635","2,600"
6,현대 라비타::1.6 CR DLX,"4,025","1,740","1,635","2,600"
7,현대 라비타::1.6 CR SUP,"4,025","1,740","1,635","2,600"
1,현대 뉴아반떼 XD::1.5 VVT GL 기본형,"4,525","1,725","1,425","2,610"
2,현대 뉴아반떼 XD::1.5 VVT GL 기본형,"4,525","1,725","1,425","2,610"
3,현대 뉴아반떼 XD::1.5 VVT GL 고급형,"4,525","1,725","1,425","2,610"
4,현대 뉴아반떼 XD::1.5 VVT GL 고급형,"4,525","1,725","1,425","2,610"
5,현대 뉴아반떼 XD::1.5 VVT GLS 기본형,"4,525","1,725","1,425","2,610"
6,현대 뉴아반떼 XD::1.5 VVT GLS 기본형,"4,525","1,725","1,425","2,610"
7,현대 뉴아반떼 XD::1.5 VVT DELUXE 기본형,"4,525","1,725","1,425","2,610"
8,현대 뉴아반떼 XD::1.5 VVT DELUXE 기본형,"4,525","1,725","1,425","2,610"
9,현대 뉴아반떼 XD::1.5 VVT NYMPH 기본형,"4,525","1,725","1,425","2,610"
10,현대 뉴아반떼 XD::1.5 VVT NYMPH 기본형,"4,525","1,725","1,425","2,610"
11,현대 뉴아반떼 XD::1.5 VVT GOLD 기본형,"4,525","1,725","1,425","2,610"
12,현대 뉴아반떼 XD::1.5 VVT GOLD 기본형,"4,525","1,725","1,425","2,610"
13,현대 뉴아반떼 XD::1.5 VVT GOLD 고급형,"4,525","1,725","1,425","2,610"
14,현대 뉴아반떼 XD::1.5 VVT GOLD 고급형,"4,525","1,725","1,425","2,610"
15,현대 뉴아반떼 XD::1.5 VVT GOLD 최고급형,"4,525","1,725","1,425","2,610"
16,현대 뉴아반떼 XD::1.5 VVT GOLD 최고급형,"4,525","1,725","1,425","2,610"
17,현대 뉴아반떼 XD::1.6 VVT DELUXE 기본형,"4,525","1,725","1,425","2,610"
18,현대 뉴아반떼 XD::1.6 VVT DELUXE 기본형,"4,525","1,725","1,425","2,610"
19,현대 뉴아반떼 XD::1.6 VVT GOLD 기본형,"4,525","1,725","1,425","2,610"
20,현대 뉴아반떼 XD::1.6 VVT GOLD 기본형,"4,525","1,725","1,425","2,610"
21,현대 뉴아반떼 XD::1.6 VVT GOLD 고급형,"4,525","1,725","1,425","2,610"
22,현대 뉴아반떼 XD::1.6 VVT GOLD 고급형,"4,525","1,725","1,425","2,610"
23,현대 뉴아반떼 XD::1.6 VVT GOLD 최고급형,"4,525","1,725","1,425","2,610"
24,현대 뉴아반떼 XD::1.6 VVT GOLD 최고급형,"4,525","1,725","1,425","2,610"
25,현대 뉴아반떼 XD::2.0 VVT GOLD 기본형,"4,525","1,725","1,425","2,610"
26,현대 뉴아반떼 XD::2.0 VVT GOLD 기본형,"4,525","1,725","1,425","2,610"
27,현대 뉴아반떼 XD::2.0 VVT GOLD 고급형,"4,525","1,725","1,425","2,610"
28,현대 뉴아반떼 XD::2.0 VVT GOLD 고급형,"4,525","1,725","1,425","2,610"
1,현대 뉴아반떼 XD::1.5 VVT SPORTS 기본형,"4,520","1,720","1,425","2,610"
2,현대 뉴아반떼 XD::1.5 VVT SPORTS 기본형,"4,520","1,720","1,425","2,610"
3,현대 뉴아반떼 XD::1.5 VVT SPORTS 고급형,"4,520","1,720","1,425","2,610"
4,현대 뉴아반떼 XD::1.5 VVT SPORTS 고급형,"4,520","1,720","1,425","2,610"
5,현대 뉴아반떼 XD::1.5 VVT SPORTS 최고급형,"4,520","1,720","1,425","2,610"
6,현대 뉴아반떼 XD::1.5 VVT SPORTS 최고급형,"4,520","1,720","1,425","2,610"
7,현대 뉴아반떼 XD::1.6 VVT SPORTS 기본형,"4,520","1,720","1,425","2,610"
8,현대 뉴아반떼 XD::1.6 VVT SPORTS 기본형,"4,520","1,720","1,425","2,610"
9,현대 뉴아반떼 XD::2.0 VVT RACING 고급형,"4,520","1,720","1,425","2,610"
10,현대 뉴아반떼 XD::2.0 VVT RACING 고급형,"4,520","1,720","1,425","2,610"
11,현대 뉴아반떼 XD::2.0 VVT RACING 최고급형,"4,520","1,720","1,425","2,610"
12,현대 뉴아반떼 XD::2.0 VVT RACING 최고급형,"4,520","1,720","1,425","2,610"
1,한국GM 뉴 칼로스::1.5 DK,"4,250","1,670","1,495","2,480"
2,한국GM 뉴 칼로스::1.5 LK,"4,250","1,670","1,495","2,480"
3,한국GM 뉴 칼로스::1.5 DK,"4,250","1,670","1,495","2,480"
4,한국GM 뉴 칼로스::1.5 DIAMOND,"4,250","1,670","1,495","2,480"
5,한국GM 뉴 칼로스::1.5 LK,"4,250","1,670","1,495","2,480"
6,한국GM 뉴 칼로스::1.5 DIAMOND,"4,250","1,670","1,495","2,480"
1,기아 뉴 스포티지::2.0 D 2WD LX DLX,"4,350","1,820","1,695","2,630"
2,기아 뉴 스포티지::2.0 D 2WD LX SUP,"4,350","1,840","1,730","2,630"
3,기아 뉴 스포티지::2.0 D 2WD TLX DLX,"4,350","1,840","1,730","2,630"
4,기아 뉴 스포티지::2.0 D 2WD TLX SUP,"4,350","1,840","1,730","2,630"
5,기아 뉴 스포티지::2.0 D 2WD LX BROWN PREMIUM,"4,350","1,840","1,730","2,630"
6,기아 뉴 스포티지::2.0 D 2WD LX BLUE PREMIUM,"4,350","1,840","1,730","2,630"
7,기아 뉴 스포티지::2.0 D 2WD TLX BROWN PREMIUM,"4,350","1,840","1,730","2,630"
8,기아 뉴 스포티지::2.0 D 2WD TLX BLUE PREMIUM,"4,350","1,840","1,730","2,630"
9,기아 뉴 스포티지::2.0 D 2WD LIMITED DLX,"4,350","1,840","1,730","2,630"
10,기아 뉴 스포티지::2.0 D 2WD LIMITED SUP,"4,350","1,840","1,730","2,630"
11,기아 뉴 스포티지::2.0 D 2WD LIMITED BROWN PREMIUM,"4,350","1,840","1,730","2,630"
12,기아 뉴 스포티지::2.0 D 2WD LIMITED BLUE PREMIUM,"4,350","1,840","1,730","2,630"
1,기아 뉴 스포티지::2.0 D 4WD LX DLX,"4,350","1,820","1,695","2,630"
2,기아 뉴 스포티지::2.0 D 4WD LX SUP,"4,350","1,840","1,730","2,630"
3,기아 뉴 스포티지::2.0 D 4WD TLX DLX,"4,350","1,840","1,730","2,630"
4,기아 뉴 스포티지::2.0 D 4WD TLX SUP,"4,350","1,840","1,730","2,630"
5,기아 뉴 스포티지::2.0 D 4WD LX BROWN PREMIUM,"4,350","1,840","1,730","2,630"
6,기아 뉴 스포티지::2.0 D 4WD LX BLUE PREMIUM,"4,350","1,840","1,730","2,630"
7,기아 뉴 스포티지::2.0 D 4WD TLX BROWN PREMIUM,"4,350","1,840","1,730","2,630"
8,기아 뉴 스포티지::2.0 D 4WD TLX BLUE PREMIUM,"4,350","1,840","1,730","2,630"
9,기아 뉴 스포티지::2.0 D 4WD LIMITED DLX,"4,350","1,840","1,730","2,630"
10,기아 뉴 스포티지::2.0 D 4WD LIMITED SUP,"4,350","1,840","1,730","2,630"
11,기아 뉴 스포티지::2.0 D 4WD LIMITED BROWN PREMIUM,"4,350","1,840","1,730","2,630"
12,기아 뉴 스포티지::2.0 D 4WD LIMITED BLUE PREMIUM,"4,350","1,840","1,730","2,630"
